product_name,sku,product_id,supply_price,old_count,new_count,dif,value_change,updated_at
Harvard Crest T-Shirt / XL / Navy,3944,556e822e-6c0c-11e2-b1f5-4040782fde00,4.19,2,7,5,20.950000000000003,2017-07-18 16:39:46
Harvard Crest T-Shirt / XXL / Navy,3973,55bdfbd1-6c0c-11e2-b1f5-4040782fde00,4.19,10,8,-2,-8.38,2017-07-18 16:39:47
Harvard Arc T-shirt / S / Crimson,1200,4af501ae-6c0c-11e2-b1f5-4040782fde00,4.27,5,7,2,8.54,2017-07-18 16:39:47
Harvard Arc T-shirt / M / Crimson,1201,4b83014d-6c0c-11e2-b1f5-4040782fde00,4.27,8,7,-1,-4.27,2017-07-18 16:39:48
Harvard Arc T-shirt / L / Crimson,1119,4bc04283-6c0c-11e2-b1f5-4040782fde00,4.27,10,10,0,0.0,2017-07-18 16:39:48
Harvard Arc T-shirt / XL / Crimson,1400,4c19a3a3-6c0c-11e2-b1f5-4040782fde00,4.27,8,8,0,0.0,2017-07-18 16:39:49
Harvard Arc T-shirt / XXL / Crimson,1202,4c645d9c-6c0c-11e2-b1f5-4040782fde00,4.27,10,7,-3,-12.809999999999999,2017-07-18 16:39:50
Harvard Arc T-shirt / S / Oxford,313,4caaab2a-6c0c-11e2-b1f5-4040782fde00,4.27,16,15,-1,-4.27,2017-07-18 16:39:50
Harvard Arc T-shirt / M / Oxford,314,4cf17966-6c0c-11e2-b1f5-4040782fde00,4.27,13,8,-5,-21.349999999999998,2017-07-18 16:39:51
Harvard Arc T-shirt / L / Oxford,315,4d392fca-6c0c-11e2-b1f5-4040782fde00,4.27,11,28,17,72.58999999999999,2017-07-18 16:39:51
Harvard Arc T-shirt / XL / Oxford,316,4d856e76-6c0c-11e2-b1f5-4040782fde00,4.27,7,3,-4,-17.08,2017-07-18 16:39:52
Harvard Arc T-shirt / XXL / Oxford,317,4dd1c193-6c0c-11e2-b1f5-4040782fde00,4.27,6,4,-2,-8.54,2017-07-18 16:39:52
Harvard Arc T-shirt / S / Black,4042,4e1184c2-6c0c-11e2-b1f5-4040782fde00,4.27,8,14,6,25.619999999999997,2017-07-18 16:39:53
Harvard Arc T-shirt / M / Black,4043,84c31ff5-6c0d-11e2-b1f5-4040782fde00,4.27,10,5,-5,-21.349999999999998,2017-07-18 16:39:54
Harvard Arc T-shirt / L / Black,4044,4e64bdfa-6c0c-11e2-b1f5-4040782fde00,4.27,8,8,0,0.0,2017-07-18 16:39:54
Harvard Arc T-shirt / XL / Black,4045,4eacb4e6-6c0c-11e2-b1f5-4040782fde00,4.27,9,7,-2,-8.54,2017-07-18 16:39:55
Harvard Arc T-shirt / XXL / Black,4076,4f04c4a7-6c0c-11e2-b1f5-4040782fde00,4.27,2,2,0,0.0,2017-07-18 16:39:55
Harvard Youth Arc T-Shirt / Crimson / YXS,3683,784504db-6c0c-11e2-b1f5-4040782fde00,4.14,10,9,-1,-4.14,2017-07-18 16:39:56
Harvard Youth Arc T-Shirt / Crimson / YS,3684,7920933c-6c0c-11e2-b1f5-4040782fde00,4.09,12,-5,-17,-69.53,2017-07-18 16:39:56
Harvard Youth Arc T-Shirt / Crimson / YM,3685,79c61c78-6c0c-11e2-b1f5-4040782fde00,4.3,6,16,10,43.0,2017-07-18 16:39:57
Harvard Youth Arc T-Shirt / Crimson / YL,3686,7a6e669c-6c0c-11e2-b1f5-4040782fde00,4.29,7,12,5,21.45,2017-07-18 16:39:58
Harvard Youth Crest T-Shirt / Pink / YXS,3383,7d4dff3d-6c0c-11e2-b1f5-4040782fde00,4.29,2,0,-2,-8.58,2017-07-18 16:39:58
Harvard Youth Crest T-Shirt / Pink / YL,3386,7f31b0a2-6c0c-11e2-b1f5-4040782fde00,4.41,2,4,2,8.82,2017-07-18 16:39:59
